year,week,deaths
2017,12,37
2017,13,36
2017,14,40
2017,15,42
2017,16,38
2017,17,45
2017,18,32
2017,19,44
2017,20,39
2017,21,53
2017,22,62
2017,23,64
2017,24,58
2017,25,65
2017,26,69
2017,27,67
2017,28,74
2017,29,65
2017,30,67
2017,31,97
2017,32,90
2017,33,77
2017,34,87
2017,35,95
2017,36,87
2017,37,93
2017,38,111
2017,39,98
2017,40,121
2017,41,142
2017,42,144
2017,43,149
2017,44,161
2017,45,223
2017,46,255
2017,47,300
2017,48,381
2017,49,481
2017,50,1197
2017,51,2925
2017,52,7898
2017,53,1972
2018,1,14593
2018,2,14041
2018,3,13610
2018,4,12878
2018,5,12589
2018,6,13151
2018,7,13091
2018,8,13537
2018,9,14676
2018,10,14788
2018,11,13545
2018,12,13105
2018,13,12869
2018,14,12434
2018,15,12102
2018,16,11956
2018,17,11224
2018,18,11088
2018,19,10740
2018,20,10831
2018,21,11172
2018,22,10878
2018,23,10530
2018,24,10404
2018,25,10604
2018,26,11293
2018,27,11177
2018,28,10653
2018,29,10902
2018,30,11363
2018,31,11196
2018,32,11194
2018,33,10360
2018,34,10788
2018,35,10536
2018,36,10906
2018,37,10947
2018,38,10933
2018,39,10833
2018,40,11463
2018,41,11562
2018,42,11152
2018,43,11397
2018,44,11560
2018,45,11877
2018,46,11616
2018,47,11870
2018,48,11973
2018,49,11725
2018,50,11883
2018,51,12422
2018,52,12361
2018,53,1889
2019,1,13344
2019,2,13787
2019,3,13643
2019,4,14260
2019,5,14313
2019,6,14458
2019,7,14009
2019,8,13912
2019,9,13395
2019,10,12772
2019,11,12120
2019,12,11871
2019,13,11767
2019,14,11839
2019,15,11338
2019,16,11712
2019,17,11534
2019,18,11367
2019,19,11245
2019,20,11443
2019,21,11096
2019,22,10897
2019,23,10550
2019,24,10856
2019,25,10845
2019,26,11616
2019,27,10902
2019,28,10636
2019,29,10912
2019,30,11637
2019,31,10546
2019,32,10657
2019,33,10371
2019,34,10851
2019,35,11066
2019,36,10503
2019,37,10999
2019,38,11152
2019,39,10928
2019,40,11291
2019,41,11514
2019,42,11436
2019,43,11505
2019,44,11775
2019,45,11656
2019,46,12183
2019,47,12358
2019,48,12123
2019,49,11985
2019,50,11513
2019,51,10484
2019,52,5385
NA,NA,53
